gpt_result,location,detail1,detail2,UMLS_normalized,category,super category,super super category
antrum of the stomach,stomach,antrum,,Stomach structure,Stomach,,Abdominal Structures
aorta,aorta,,,Aorta,,,
aortic,aortic,,,Aorta,,,
aortic arch,aortic arch,,,Aortic arch structure,,,
aortic knob,aortic knob,,,aortic knob,,,
aortic valve,aortic valve,,,Aortic valve structure,,,
aorticopulmonary window,aorticopulmonary window,,,aorticopulmonary window,,,
aortopulmonary window,aortopulmonary window,,,aortopulmonary window,,,
aortopulmonic window node,aortopulmonic window,,,Lymph node of aortopulmonary window,,,
apex,apex,,,Apical zone of lung,Lungs,,Respiratory System
apex of the left hemi thorax,left hemithorax,apex,,Hemithoracic structure,Hemithorax,,Thoracic Structures
apex of the right hemithorax,right hemithorax,apex,,Hemithoracic structure,Hemithorax,,Thoracic Structures
apex of the right ventricle,right ventricle,apex,,Right ventricular structure,,,
apical,apical,,,Apical zone of lung,Lungs,,Respiratory System
apical and lateral parts of the right hemithorax,right hemithorax,apical lateral,,Hemithoracic structure,Hemithorax,,Thoracic Structures
apical area,apical area,,,Apical zone of lung,Lungs,,Respiratory System
apical areas,apical areas,,,Apical zone of lung,Lungs,,Respiratory System
apical areas bilateral,apical areas bilateral,,,Apical zone of lung,Lungs,,Respiratory System
apical bilaterally,apical bilaterally,,,Apical zone of lung,Lungs,,Respiratory System
apices,apices,,,Apical zone of lung,Lungs,,Respiratory System
apicolateral,apicolateral,,,Apical zone of lung,Lungs,,Respiratory System
apicolateral parts of the right hemithorax,right hemithorax,apicolateral,,Hemithoracic structure,Hemithorax,,Thoracic Structures
arch,arch,,,ARCH (C0741204),,,
around the right lung,right lung,around,,Lung,Right lung,Lungs,Respiratory System
at the carina,carina,,,Structure of carina,Airways,,Respiratory System
at the gastroesophageal junction,gastroesophageal junction,,,gastroesophageal,,,
at the level of the gastroesophageal junction,gastroesophageal junction,,,gastroesophageal,,,
atrium,atrium,,,Heart Atrium,,,
axillary,axillary,,,Entire axillary region,,,
axillary left lung,axillary left lung,,,Entire axillary region (C1284953),Lungs,,Respiratory System
axillary left mid lung,axillary left lung,mid,,Entire axillary region (C1284953),Lungs,,Respiratory System
axillary portion of the seventh right rib,right rib,axillary portion of the seventh,,Bone structure of rib,Right rib,Ribs,Musculoskeletal System
axillary region,axillary,,,Entire axillary region,,,
axillary right upper lobe,right upper lobe,axillary,,Structure of upper lobe of lung,Right lung lobe,Lungs,Respiratory System
axillary vein,axillary vein,,,Structure of axillary vein,,,
azygos and central veins,"azygos vein, central veins",,,Structure of azygous vein && Central Vein (C1116449,,,
back,back,,,Back,,,
basal,basal,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
basal areas,basal,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
basal lung regions,basal lung regions,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
basal segments of the left lower lobe,left lower lobe,basal segments,,Structure of lower lobe of lung (C1261077),Left lung lobe,Lungs,Respiratory System
basal space of the pleura,space of the pleura,basal,,Pleural cavity,Pleural,,Respiratory System
base,base,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
base medially,base,medial,,Basal segment of lung (C0225704),Lungs,,Respiratory System
base of the left,base of the left,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
base of the left lung,base of the left lung,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
base of the lung,base of the lung,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
base of the lung on the right,base of the lung on the right,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
base of the right hemithorax,right hemithorax,base,,Hemithoracic structure,Hemithorax,,Thoracic Structures
base of the right lung,base of the right lung,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
base of the right upper lobe,right upper lobe,base,,Structure of upper lobe of lung,Right lung lobe,Lungs,Respiratory System
base the left lung,base the left lung,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bases,bases,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bases and peripheral aspects of the lung,bases of the lung,peripheral,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bases of the lower lobes,lower lobes,bases,,Structure of lower lobe of lung,Lungs,Lungs,Respiratory System
bases of the right upper lobe,right upper lobe,bases,,Structure of upper lobe of lung,Right lung lobe,Lungs,Respiratory System
basilar,basilar,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
basilar areas,basilar,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
basilar left lung,basilar left lung,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
basilar lung,basilar lung,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
below gastroesophageal junction,gastroesophageal junction,below,,gastroesophageal,,,
below right residual lung,right residual lung,below,,Lung,Lungs,Lungs,Respiratory System
below the diaphragm,diaphragm,below,,Entire diaphragm,Diaphragm,,Abdominal Structures
below the diaphragm into the stomach,stomach,below the diaphragm,,Stomach structure,Stomach,,Abdominal Structures
below the diaphragms,diaphragms,below,,Entire diaphragm,Diaphragm,,Abdominal Structures
below the gastroesophageal junction,gastroesophageal junction,below,,gastroesophageal,,,
below the hemidiaphragm,hemidiaphragm,below,,Structure of hemidiaphragm,Diaphragm,,Abdominal Structures
below the inferior border of the right lung,right lung,below the inferior border,,Lung,Right lung,Lungs,Respiratory System
below the left hemidiaphragm,left hemidiaphragm,below,,Structure of left hemidiaphragm,Diaphragm,,Abdominal Structures
below the medial aspect of the right hemidiaphragm,right mid hemidiaphragm,below,,Right hemidiaphragm,Diaphragm,,Abdominal Structures
below the right hemidiaphragm,right hemidiaphragm,below,,Right hemidiaphragm,Diaphragm,,Abdominal Structures
below the stomach,stomach,below,,Stomach structure,Stomach,,Abdominal Structures
below the superior aspect of the aortic knob,superior aortic knob,below,,,,,
beneath diaphragm,diaphragm,beneath,,Entire diaphragm,Diaphragm,,Abdominal Structures
beneath diaphragm overlying stomach,"diaphragm, stomach",beneath,overlying,Stomach structure,,,Abdominal Structures
beneath left hemidiaphragm,left hemidiaphragm,beneath,,Structure of left hemidiaphragm,Diaphragm,,Abdominal Structures
beneath the diaphragm,diaphragm,beneath,,Entire diaphragm,Diaphragm,,Abdominal Structures
beneath the diaphragms,diaphragms,beneath,,Entire diaphragm,Diaphragm,,Abdominal Structures
beneath the hemidiaphragms,hemidiaphragms,beneath,,Structure of hemidiaphragm,Diaphragm,,Abdominal Structures
beneath the right hemidiaphragm,right hemidiaphragm,beneath,,Right hemidiaphragm,Diaphragm,,Abdominal Structures
beyond the gastroesophageal junction,gastroesophageal junction,beyond,,gastroesophageal,,,
bi-apical,bi-apical,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bi-basal,bi-basal,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
biapical,biapical,,,Apical zone of lung,Bilateral lung,Lungs,Respiratory System
bibasal,bibasal,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bibasal areas,bibasal,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bibasal left,bibasal left,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bibasilar,bibasilar,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bibasilar regions,bibasilar,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bilateral,bilateral,,,bilateral,Bilateral Structures,,Anatomical Descriptors
bilateral acromioclavicular joints,bilateral acromioclavicular joints,,,Acromioclavicular joint structure,,,
bilateral apical,bilateral apical,,,Apical zone of lung,Lungs,,Respiratory System
bilateral apical areas,bilateral apical areas,,,Apical zone of lung,Lungs,,Respiratory System
bilateral apical lateral,bilateral apical,lateral,,Apical zone of lung,Lungs,,Respiratory System
bilateral basal,bilateral basal,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bilateral basal areas,bilateral basal areas,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bilateral bases,bilateral bases,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bilateral basilar,bilateral basilar,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bilateral basilar areas,bilateral basilar areas,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bilateral bibasilar,bilateral bibasilar,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bilateral chest wall,bilateral chest wall,,,Chest wall structure,Chest,,
bilateral costophrenic angles,bilateral costophrenic angles,,,Costophrenic angle,Costophrenic angle,,Adjacent Structures
bilateral costophrenic sinuses,bilateral costophrenic sinuses,,,Costophrenic angle,Costophrenic angle,,Adjacent Structures
bilateral dorsal costophrenic sinuses,bilateral costophrenic sinuses,,,Costophrenic angle,Costophrenic angle,,Adjacent Structures
bilateral glenohumeral joints,bilateral glenohumeral joints,,,Entire glenohumeral joint,Joints,,Musculoskeletal System
bilateral hila,bilateral hila,,,Hilar,Lung region,,Respiratory System
bilateral hilar,bilateral hilar,,,Hilar,Lung region,,Respiratory System
bilateral hilar and mediastinal,"bilateral hilar, mediastinal",,,Hilar && Mediastinum,,,
bilateral hilar regions,bilateral hilar regions,,,Hilar,Lung region,,Respiratory System
bilateral left upper lobe,bilateral left upper lobe,,,Structure of upper lobe of lung,Lungs,,Respiratory System
bilateral lobes of the lung,bilateral lobes of the lung,,,Structure of lobe of lung,Lungs,,Respiratory System
bilateral lower extremity,bilateral lower extremity,,,Lower Extremity,Extremities,,Extremities
bilateral lower lobe,bilateral lower lobe,,,Structure of lower lobe of lung,Bilateral lung,Lungs,Respiratory System
bilateral lower lobes,bilateral lower lobes,,,Structure of lower lobe of lung,Bilateral lung,Lungs,Respiratory System
bilateral lower lung,bilateral lower lung,,,lower lung,Lungs,,Respiratory System
bilateral lower lung bases,bilateral lower lung,bases,,lower lung,Lungs,,Respiratory System
bilateral lower lungs,bilateral lower lungs,,,lower lung,Lungs,,Respiratory System
bilateral lower zone,bilateral lower zone,,,Lower zone,Lungs,,Respiratory System
bilateral lower zones,bilateral lower zones,,,Lower zone,Lungs,,Respiratory System
bilateral lung,bilateral lung,,,Lung,Lungs,,Respiratory System
bilateral lung apices,bilateral lung apices,,,Apical zone of lung,Lungs,,Respiratory System
bilateral lung base,bilateral lung base,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bilateral lung bases,bilateral lung bases,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bilateral lung basis,bilateral lung basis,,,Basal segment of lung (C0225704),Lungs,,Respiratory System
bilateral lung fields,bilateral lung fields,,,Lung,Lungs,,Respiratory System
bilateral lungs,bilateral lungs,,,Lung,Lungs,,Respiratory System
bilateral medial upper lobes,bilateral medial lobes,upper,,Structure of middle lobe of lung,Lungs,,Respiratory System
bilateral mid lung,bilateral mid lung,,,Middle zone of lung (C0559287),Lungs,,Respiratory System
bilateral mid-to-upper lungs,bilateral lungs,mid-to-upper,,Lung,Lungs,,Respiratory System
bilateral middle lobe,bilateral middle lobe,,,Structure of middle lobe of lung,Lungs,,Respiratory System
bilateral perihilar,bilateral perihilar,,,Structure of perihilar region of lung,Lung region,,Respiratory System
bilateral perihilar areas,bilateral perihilar areas,,,Structure of perihilar region of lung,Lung region,,Respiratory System
bilateral pleural space,bilateral pleural space,,,Pleural cavity,Pleural,,Respiratory System
bilateral posterior,bilateral,posterior,,bilateral,Bilateral Structures,,Anatomical Descriptors
bilateral posterior costophrenic sulcus,bilateral costophrenic sulcus,posterior,,Costophrenic angle,Costophrenic angle,,Adjacent Structures
bilateral pulmonary hila,bilateral pulmonary hila,,,Hilar,Lung region,,Respiratory System
bilateral right predominant,bilateral,right predominant,,bilateral,Bilateral Structures,,Anatomical Descriptors
bilateral shoulder,bilateral shoulder,,,Shoulder,Shoulder,,Adjacent Structures
bilateral shoulders,bilateral shoulders,,,Shoulder,Shoulder,,Adjacent Structures
bilateral supraclavicular region,bilateral supraclavicular region,,,supraclavicular region,,,Adjacent Structures
bilateral upper lobe,bilateral upper lobe,,,Structure of upper lobe of lung,Lungs,,Respiratory System
bilateral upper lobes,bilateral upper lobes,,,Structure of upper lobe of lung,Lungs,,Respiratory System
bilateral upper lung,bilateral upper lung,,,Upper zone of lung (C0559286),Bilateral lungs,Lungs,Respiratory System
bilateral upper lung zone,bilateral upper lung zone,,,Upper zone of lung (C0559286),Bilateral lungs,Lungs,Respiratory System
bilateral upper lungs,bilateral upper lungs,,,Upper zone of lung (C0559286),Bilateral lungs,Lungs,Respiratory System
bilateral upper lungs lateral,bilateral upper lungs,lateral,,Upper zone of lung (C0559286),Bilateral lungs,Lungs,Respiratory System
bilateral upper lungs zone,bilateral upper lungs zone,,,Upper zone of lung (C0559286),Bilateral lungs,Lungs,Respiratory System
bilaterally,bilaterally,,,bilateral,Bilateral Structures,,Anatomical Descriptors
biventricular,biventricular,,,Heart Ventricle,,,
bodies of the esophagus,esophagus,bodies,,Esophagus,,,
bodies of the stomach,bodies of the stomach,,,Body of stomach (C0227230),Stomach,Stomach,Abdominal Structures
brachiocephalic,brachiocephalic,,,Structure of brachiocephalic artery,,,
brachiocephalic vein,brachiocephalic vein,,,Structure of brachiocephalic vein,,,
bronchi,bronchi,,,Bronchi,Airways,,Respiratory System
c spine,c-spine,,,Cervical spine,spine,,Skeletal System
c-spine,c-spine,,,Cervical spine,spine,,Skeletal System
cardiac,cardiac,,,Heart,,,
cardiac apex,cardiac apex,,,Structure of apex of heart,,,
cardiac apex at the left base,cardiac apex,left base,,Structure of apex of heart,,,
cardiac silhouette,cardiac silhouette,,,Cardiac border,,,
cardiomediastinal silhouette,cardiomediastinal silhouette,,,Mediastinum,,,
cardiophrenic regions,cardiophrenic,,,-,,,
carina,carina,,,Structure of carina,Airways,,Respiratory System
carinal angle,carinal angle,,,Structure of carina,Airways,,Respiratory System
cavoatrial junction,cavoatrial junction,,,cavoatrial junction,,,
cavoatrial junction/proximal right atrium,"cavoatrial junction, right atrium",,proximal,cavoatrial junction && Right atrial structure,,,
cavoatrial/right atrial junction,cavoatrial/right atrial junction,,,cavoatrial junction && Right atrial structure,,,
central,central,,,-,,,
central bilateral,bilateral,central,,bilateral,Bilateral Structures,,Anatomical Descriptors
central lymph nodes,lymph nodes,central,,lymph nodes,,,
central parts of the stomach,stomach,central,,Stomach structure,Stomach,,Abdominal Structures
central portion of the pulmonary artery,pulmonary artery,central,,Pulmonary artery structure,,,
central pulmonary vasculature,pulmonary vasculature,central,,Pulmonary vessels,,,
central right hilar region,right hilar region,central,,right hilum,Hilar,Lung region,Respiratory System
central within each lung,each lung,central,,Lung,Lungs,,Respiratory System
centrally,centrally,,,-,,,
cervical,cervical,,,Neck,,,
cervical and thoracic right-sided,"right cervical, right thoracic",,,Cervical region (surface region of back) && Thoracic region (surface region of back),,,
cervical esophagus,esophagus,cervical,,Esophagus,,,
cervical spine,cervical spine,,,Cervical spine,spine,,Skeletal System
cervical trachea,trachea,cervical,,Trachea,Trachea,Airways,Respiratory System
chest,chest,,,Chest,,,
chest cage,chest cage,,,Chest & Cage Observation C5237709,,,
chest lateral wall,chest wall,lateral,,Chest wall structure,,,
chest wall,chest wall,,,Chest wall structure,Chest,,
chest wall and the liver,"chest wall, liver",,,Chest wall structure && Liver,Chest,,
chest wall regions,chest wall,,,Chest wall structure,Chest,,
chest walls bilaterally,chest walls bilaterally,,,Chest wall structure,Chest,,
colon,colon,,,Colon structure (body structure),,,
confluence of the brachiocephalic vein,brachiocephalic vein,confluence,,Structure of brachiocephalic vein,,,
confluence of the brachiocephalic veins,confluence of the brachiocephalic veins,,,Structure of brachiocephalic vein,,,
confluence of the left first anterior rib with the left fifth posterior rib,confluence of the left first anterior rib with the left fifth posterior rib,,,Rib Confluences,Ribs,,Musculoskeletal System
coronary arteries,coronary arteries,,,Coronary artery,,,
coronary sinus,coronary sinus,,,Coronary sinus structure,,,
coronary sinus system,coronary sinus system,,,Coronary sinus structure,,,
coronary vessels,coronary vessels,,,Coronary Vessels,,,
costochondral junction,costochondral junction,,,Entire costochondral junction,,,
costodiaphragmatic angles,costodiaphragmatic angles,,,Costophrenic angle (C0230151),,,
costophrenic angle,costophrenic angle,,,Costophrenic angle,,,
costophrenic angles,costophrenic angles,,,Costophrenic angle,,,
crosses the midline,midline,,,-,,,
descending aorta,descending aorta,,,Descending aorta,,,
descending thoracic aorta,descending thoracic aorta,,,Descending thoracic aorta,,,
diaphragm,diaphragm,,,Entire diaphragm,Diaphragm,,Abdominal Structures
diaphragmatic surfaces,diaphragmatic surfaces,,,Entire diaphragm,Diaphragm,,Abdominal Structures
diaphysis of the right proximal humerus,diaphysis of the right proximal humerus,,,Proximal part of diaphysis of right humerus,,,
distal,distal,,,-,,,
distal bodies of the stomach,bodies of the stomach,distal,,Body of stomach (C0227230),Stomach,Stomach,Abdominal Structures
distal duodenum/proximal jejunum,"duodenum, jejunum",distal,proximal,Duodenum && Jejunum,,,
distal esophagus,esophagus,distal,,Esophagus,,,
distal left brachiocephalic vein,left brachiocephalic vein,distal,,Left brachiocephalic vein,,,
distal right clavicle,right clavicle,distal,,Bone structure of clavicle,Clavicles,,Musculoskeletal System
distal right interlobar pulmonary artery,right interlobar pulmonary artery,distal,,Interlobar part of right pulmonary artery,,,
distal right pulmonary artery,right pulmonary artery,distal,,Right pulmonary artery,,,
distal stomach,stomach,distal,,Stomach structure,Stomach,,Abdominal Structures
distal superior vena cava,superior vena cava,distal,,Superior vena cava structure,,,
distal svc,svc,distal,,Superior vena cava structure,,,
distal svc/cavoatrial junction,svc/cavoatrial junction,distal,,Superior vena cava structure && cavoatrial junction,,,
distal to the catheter tip,,,,,,,
distally,distally,,,-,,,
dome of the left hemidiaphragm over the cardiac silhouette,dome of the left hemidiaphragm,over the cardiac silhouette,,Structure of left hemidiaphragm,Diaphragm,,Abdominal Structures
dorsal,dorsal,,,Dorsum/Dorsal,,,
dorsal parts of the costophrenic sinus,costophrenic sinus,dorsal parts,,Costophrenic angle,,,
duodenum,duodenum,,,Duodenum,,,
each lung,each lung,,,Lung,Lungs,,Respiratory System
eighth posterolateral rib on the right,rib on the right,eighth posterolateral,,Bone structure of rib,Ribs,,Musculoskeletal System
either lung,either lung,,,Lung,Lungs,,Respiratory System
either side,either side,,,Bilateral lungs,,,
entrance of the pleural cavity,pleural cavity,,,Pleural cavity,Pleural,,Respiratory System
epigastric,epigastric,,,Epigastrium,,,
epigastric abdomen,epigastric abdomen,,,Epigastrium,Abdomen,,Abdominal Structures
epigastric area,epigastric area,,,Epigastrium,,,
epigastric region,epigastric region,,,Epigastrium,,,
epigastrium,epigastrium,,,Epigastrium,,,
esophagogastric junction,esophagogastric junction,,,Esophagogastric Junction,,,
esophagus,esophagus,,,Esophagus,,,
esophagus at the level of the clavicles,esophagus,level of the clavicles,,Esophagus,Esophagus,,Adjacent Structures
extreme left,extreme left,,,Extremity Left,,,
femoral,femoral,,,Femur,,,
first and fourth rib,rib,first,fourth,Bone structure of rib,Ribs,Ribs,Musculoskeletal System
first left,left,,,-,,,
first portion of the duodenum,duodenum,first,,Duodenum,,,
fissural,fissural,,,Fissure of lung,,,
fissural surfaces,fissural surfaces,,,Fissural surface of lobe of lung,,,
fissure,fissure,,,Fissure of lung,Fissure of lung,Lung,Respiratory System
fissure of the left lung,fissure of the left lung,,,Fissure of lung,Lungs,,Respiratory System
fissures,fissures,,,Fissure of lung,Fissure of lung,Lung,Respiratory System
flank,flank,,,Flank (surface region),,,
fractured vertebral bodies,vertebral bodies,,,Body of vertebra,,,
from the left pectoral generator,left pectoral generator,,,-,,,
from the level of the carina upwards towards the,carina,upwards,,Structure of carina,Airways,,Respiratory System
frontal and of the chest,frontal chest,,,Chest,,,
fundus,fundus,,,Fundus,,,
fundus and bodies of the stomach,"fundus of the stomach, bodies of the stomach",,,gastric fundus (C0017129) && Body of stomach (C0227230),Stomach,Stomach,Abdominal Structures
fundus of the stomach,fundus of the stomach,,,gastric fundus (C0017129),,,
gastric fundus,gastric fundus,,,gastric fundus,,,
gastric remnant,gastric remnant,,,Gastric Stump,,,
gastroesophageal junction,gastroesophageal junction,,,gastroesophageal,,,
gastroesophageal junction level,gastroesophageal junction,,,gastroesophageal,,,
glenohumeral and acromioclavicular joints,"glenohumeral joint, acromioclavicular joint",,,Entire glenohumeral joint && Acromioclavicular joint structure,,,
glenohumeral joints,glenohumeral joints,,,Entire glenohumeral joint,,,
glenohumeral joints bilaterally,glenohumeral joints bilaterally,,,Entire glenohumeral joint,Joints,,Musculoskeletal System
glenoid,glenoid,,,Glenoid structure,,,
greater tuberosity of the left humerus,left humerus,greater tuberosity,,Left humerus,,,
heart,heart,,,Heart,,,
hemidiaphragm,hemidiaphragm,,,Structure of hemidiaphragm,Diaphragm,,Abdominal Structures
hemithorax,hemithorax,,,Hemithoracic structure,Hemithorax,,Thoracic Structures
high svc,svc,high,,Superior vena cava structure,,,
hila,hila,,,Hilar,Lung region,,Respiratory System
hila bilaterally,hila bilaterally,,,Hilar,Lung region,,Respiratory System
hilar,hilar,,,Hilar,Lung region,,Respiratory System
hilar and mediastinal,"hilar, mediastinal",,,Hilar && Mediastinum,,,
hilar and mediastinal border,"hilar border, mediastinal border",,,Hilar && Mediastinum,,,
hilar areas,hilar,,,Hilar,Lung region,,Respiratory System
hilar region,hilar,,,Hilar,Lung region,,Respiratory System
imaged pleural surfaces,pleural surfaces,,,Pleura,Pleural,,Respiratory System
imaged portion of the chest,chest,,,Chest,,,
in the lungs,lungs,,,Lung,Lung,Lungs,Respiratory System
inferior,inferior,,,-,,,
inferior border of the right lung,right lung,inferior border,,Lung,Right lung,Lungs,Respiratory System
inferior cavoatrial junction,cavoatrial junction,inferior,,cavoatrial junction,,,
inferior clavicular heads,clavicular heads,inferior,,Bone structure of clavicle,Clavicles,,Musculoskeletal System
inferior lingula,lingula,inferior,,Lingula,,,
inferior right chest,inferior right chest,,,Right side of chest,Chest,,
inferior scapula,inferior scapula,,,Inferior part of body of scapula,,,
inferior scapulae,inferior scapulae,,,Inferior part of body of scapula,,,
inferior to the central lungs,lungs,inferior to the central,,Lung,Lung,Lungs,Respiratory System
inferior to the diaphragm,diaphragm,inferior,,Entire diaphragm,Diaphragm,,Abdominal Structures
inferior vena cava,inferior vena cava,,,Inferior vena cava structure,,,
inferiorly,inferiorly,,,-,,,
inferolateral right upper lobe,right upper lobe,inferolateral,,Structure of upper lobe of lung,Right lung lobe,Lungs,Respiratory System
infraclavicular junction,infraclavicular junction,,,Infraclavicular region structure,,,
infrahilar area,infrahilar,,,Hilar,,,
infrahilar left lower lobe,left lower lobe,infrahilar,,Structure of lower lobe of lung (C1261077),Left lung lobe,Lungs,Respiratory System
infrahilar portions of bilateral lower lobes,bilateral lower lobes,infrahilar,,Structure of lower lobe of lung,Bilateral lung,Lungs,Respiratory System
infrahilar region,infrahilar,,,Hilar,,,
infrahilar right lung,right lung,infrahilar,,Lung,Right lung,Lungs,Respiratory System
inner,inner,,,-,,,
interstitial,,,,,,,
interstitium,,,,,,,
into the distal stomach,stomach,distal,,Stomach structure,Stomach,,Abdominal Structures
into the stomach,stomach,,,Stomach structure,Stomach,,Abdominal Structures
intra-abdominal,intra-abdominal,,,Abdomen,Abdomen,,Abdominal Structures
intrafissural right pleural,right pleural,intrafissural,,Right pleura,Pleural,,Respiratory System
intrathoracic,intrathoracic,,,Intrathoracic organ,,,
ipsilateral lung,lung,ipsilateral,,Lung,Lung,Lungs,Respiratory System
ivc,ivc,,,Inferior vena cava structure,,,
junction of brachiocephalic vein and svc,junction of brachiocephalic vein and svc,,,Structure of brachiocephalic vein && Superior vena cava structure && Anatomical junction,,,
junction of brachiocephalic veins,junction of brachiocephalic veins,,,Structure of brachiocephalic vein,,,
junction of left brachiocephalic vein and svc,junction of left brachiocephalic vein and svc,,,Structure of brachiocephalic vein && Superior vena cava structure && Anatomical junction,,,
junction of the brachiocephalic trunk,junction of the brachiocephalic trunk,,,Trunk of brachiocephalic artery,,,
junction of the brachiocephalic veins,junction of the brachiocephalic veins,,,Structure of brachiocephalic vein,,,
junction of the right subclavian and jugular veins,junction of the right subclavian and jugular veins,,,-,,,
junction of the svc and right atrium,junction of the svc and right atrium,,,Superior vena cava structure && Right atrial structure && Anatomical junction,,,
juncture with the left subclavian vein,left subclavian vein,,,Structure of left subclavian vein,,,
juxtahilar left mid and lower lung zones,"juxtahilar left mid, left lower lung",,,left juxtahilar region && Left lower lung field (C0929231),,,
