raw_data,GT Entity (low-level),Cat (normalized obs.),super category,super super cat,Final_cat
cephalization edema,edema,edema,fluid disorder,pathophysiologic finding,CF
chronic aspergillosis,chronic aspergillosis,chronic aspergillosis,infection,pathophysiologic finding,CF
chronic fibrotic interstitial lung disease,chronic fibrotic interstitial lung disease,chronic fibrotic interstitial lung disease,respiratory disorder,pathophysiologic finding,CF
chronic interstitial lung disease,chronic interstitial lung disease,chronic interstitial lung disease,respiratory disorder,pathophysiologic finding,CF
chronic lung disease,chronic lung disease,chronic lung disease,,,CF
chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,,,CF
chronic pulmonary disease,chronic pulmonary disease,chronic pulmonary disease,,,CF
chronic small airways obstruction,chronic small airway obstruction,chronic small airway obstruction,,,CF
chronic underlying lung disease,chronic underlying lung disease,chronic underlying lung disease,,,CF
clot,clot,clot,,,CF
congestion,congestion,congestion,,,CF
congestion of the pulmonary vasculature,congestion of the pulmonary vasculature,congestion of the pulmonary vasculature,,,CF
congestion/edema,congestion/edema,congestion/edema,fluid disorder,pathophysiologic finding,CF
congestive change,congestive change,congestive change,,,CF
congestive heart failure with interstitial edema,congestive heart failure with interstitial edema,congestive heart failure with interstitial edema,fluid disorder,pathophysiologic finding,CF
contusions,contusions,contusion,,,CF
contusion,contusion,contusion,,,CF
cystic lung disease,cystic lung disease,cystic lung disease,proliferation,pathophysiologic finding,CF
decompensation,decompensation,decompensation,,,CF
dependent edema,dependent edema,dependent edema,fluid disorder,pathophysiologic finding,CF
diffuse alveolar hemorrhage,diffuse alveolar hemorrhage,diffuse alveolar hemorrhage,,,CF
diffuse pulmonary disease,diffuse pulmonary disease,diffuse pulmonary disease,,,CF
dish,dish,dish,,,CF
disturbed lymphatic drainage,disturbed lymphatic drainage,disturbed lymphatic drainage,,,CF
diverticulum,diverticulum,diverticulum,,,CF
drug-induced pneumonitis,drug-induced pneumonitis,drug-induced pneumonitis,inflamation,pathophysiologic finding,CF
early edema,edema,edema,fluid disorder,pathophysiologic finding,CF
edema,edema,edema,fluid disorder,pathophysiologic finding,CF
edematous change,edematous change,edematous change,fluid disorder,pathophysiologic finding,CF
emphysematous changes,emphysematous changes,emphysematous change,displacement,pathophysiologic finding,CF
emphysematous change,emphysematous change,emphysematous change,displacement,pathophysiologic finding,CF
empyema,empyema,empyema,,,CF
enchondroma,enchondroma,enchondroma,,,CF
eosinophillic pneumonia,eosinophillic pneumonia,eosinophillic pneumonia,respiratory disorder,pathophysiologic finding,CF
esophageal-pleural fistula,esophageal-pleural fistula,esophageal-pleural fistula,,,CF
esophagopleural fistula,esophagopleural fistula,esophagopleural fistula,,,CF
eventration,eventration,eventration,,,CF
fistula,fistula,fistula,,,CF
flash pulmonary edema,flash pulmonary edema,flash pulmonary edema,fluid disorder,pathophysiologic finding,CF
focal aspiration,aspiration,aspiration,,,CF
focal edema,edema,edema,fluid disorder,pathophysiologic finding,CF
global heart failure,global heart failure,global heart failure,,,CF
goiter,goiter,goiter,,,CF
granuloma,granuloma,granuloma,proliferation,pathophysiologic finding,CF
granulomas,granulomas,granuloma,proliferation,pathophysiologic finding,CF
granulomata,granulomata,granuloma,proliferation,pathophysiologic finding,CF
granulomatous disease,granulomatous disease,granulomatous disease,proliferation,pathophysiologic finding,CF
granulomatous inflammatory process,granulomatous inflammatory process,granulomatous inflammatory process,proliferation,pathophysiologic finding,CF
granulomatous lymph node calcifications,granulomatous calcifications,granulomatous calcification,degenerative disorder,pathophysiologic finding,CF
heart failure,heart failure,heart failure,,,CF
hematoma,hematoma,hematoma,,,CF
hemidiaphragm eventration,eventration,eventration,,,CF
hemorrhage,hemorrhage,hemorrhage,,,CF
hemothorax,hemothorax,hemothorax,fluid disorder,pathophysiologic finding,CF
hepatic hydrothorax,hepatic hydrothorax,hepatic hydrothorax,,,CF
hiatal hernia,hiatal hernia,hiatal hernia,,,CF
hiatus hernia,hiatus hernia,hiatal hernia,,,CF
hilar adenopathy,adenopathy,adenopathy,,,CF
hilar congestion,congestion,congestion,,,CF
hilar lymphadenopathy,lymphadenopathy,lymphadenopathy,,,CF
hospital-acquired pneumonia,hospital-acquired pneumonia,hospital-acquired pneumonia,respiratory disorder,pathophysiologic finding,CF
hypervolemia,hypervolemia,hypervolemia,,,CF
idiopathic skeletal hyperostosis,idiopathic skeletal hyperostosis,idiopathic skeletal hyperostosis,,,CF
incision complications,incision complication,incision complication,,,CF
infectious changes,infectious change,infectious change,infection,pathophysiologic finding,CF
infectious lesions,infectious lesions,infectious lesions,,pathophysiologic finding,CF
inflammatory change,inflammatory change,inflammatory change,,,CF
inflammatory component,inflammatory component,inflammatory component,,,CF
inflammatory process,inflammatory process,inflammatory process,process,process,CF
interstial edema,interstial edema,interstial edema,fluid disorder,pathophysiologic finding,CF
interstitial component of the edema,interstitial component of the edema,interstitial component of the edema,fluid disorder,pathophysiologic finding,CF
interstitial edema,interstitial edema,interstitial edema,fluid disorder,pathophysiologic finding,CF
interstitial edema pattern,interstitial edema pattern,interstitial edema pattern,fluid disorder,pathophysiologic finding,CF
interstitial fluid overload,interstitial fluid overload,interstitial fluid overload,fluid disorder,pathophysiologic finding,CF
interstitial lung abnormality,interstitial lung abnormality,interstitial lung abnormality,abnormal,normality,CF
interstitial lung disease,interstitial lung disease,interstitial lung disease,respiratory disorder,pathophysiologic finding,CF
interstitial lung edema,interstitial lung edema,interstitial lung edema,fluid disorder,pathophysiologic finding,CF
interstitial metastatic disease,interstitial metastatic disease,interstitial metastatic disease,,,CF
interstitial or alveolar edema,interstitial edema,interstitial or alveolar edema,,,CF
interstitial pulmonary abnormality,interstitial pulmonary abnormality,interstitial pulmonary abnormality,abnormal,normality,CF
interstitial pulmonary edema,interstitial pulmonary edema,interstitial pulmonary edema,fluid disorder,pathophysiologic finding,CF
invasive esophageal tumor,invasive esophageal tumor,invasive esophageal tumor,,,CF
ipf,ipf,ipf,,,CF
left forearm abscess,abscess,abscess,infection,pathophysiologic finding,CF
lll pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
lung abscess,abscess,abscess,infection,pathophysiologic finding,CF
lung contusion,contusion,contusion,,,CF
lung malignancy,malignancy,malignancy,,,CF
lung metastases,metastases,metastasis,,,CF
lymphadenopathy,lymphadenopathy,lymphadenopathy,,,CF
lymphangioleiomyomatosis,lymphangioleiomyomatosis,lymphangioleiomyomatosis,,,CF
lymphangiomyomatosis,lymphangiomyomatosis,lymphangiomyomatosis,,,CF
mediastinal adenopathy,adenopathy,adenopathy,,,CF
mediastinal bleeding,mediastinal bleeding,mediastinal bleeding,,,CF
mediastinal congestion,congestion,congestion,,,CF
mediastinal lipomatosis,mediastinal lipomatosis,mediastinal lipomatosis,,,CF
mediastinal lymphadenopathy,lymphadenopathy,lymphadenopathy,,,CF
mediastinal right-sided adenopathy,adenopathy,adenopathy,,,CF
mediastinal vascular congestion,vascular congestion,vascular congestion,,,CF
metastatic deposits,metastatic deposits,metastatic deposit,,,CF
metastatic involvement,metastatic involvement,metastatic involvement,,,CF
metastatic lesions,metastatic lesions,metastatic lesion,,,CF
metastatic nodularity,metastatic nodularity,metastatic nodularity,,,CF
metastatic nodules,metastatic nodules,metastatic nodule,,imaging observation,CF
metastatic pulmonary nodules,metastatic nodules,metastatic nodule,,imaging observation,CF
morgagni hernia,morgagni hernia,morgagni hernia,,,CF
mucoid impaction,mucoid impaction,mucoid impaction,,,CF
mucous plugging,mucous plugging,mucous plugging,,,CF
mucus obstruction,mucus obstruction,mucus obstruction,,,CF
mucus plug,mucus plug,mucus plug,,,CF
multilobar pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
neoplastic lesions,neoplastic lesions,neoplastic lesion,,,CF
obstructive pulmonary disease,obstructive pulmonary disease,obstructive pulmonary disease,,,CF
occlusions,occlusions,occlusion,,,CF
occlusion,occlusion,occlusion,,,CF
parapneumonic effusion,parapneumonic effusion,parapneumonic effusion,fluid disorder,pathophysiologic finding,CF
paraseptal emphysema,paraseptal emphysema,paraseptal emphysema,displacement,pathophysiologic finding,CF
pe pulmonary edema,pulmonary edema,pulmonary edema,fluid disorder,pathophysiologic finding,CF
perforated esophagus,perforated esophagus,perforated esophagus,,,CF
perforation,perforation,perforation,,,CF
perihilar edema,perihilar edema,perihilar edema,fluid disorder,pathophysiologic finding,CF
phrenic nerve palsy,phrenic nerve palsy,phrenic nerve palsy,,,CF
phrenic nerve paralysis,phrenic nerve paralysis,phrenic nerve paralysis,,,CF
pleural disease,pleural disease,pleural disease,,,CF
pneumo,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
pneumonia effusion,pneumonia effusion,pneumonia effusion,respiratory disorder,pathophysiologic finding,CF
pneumothorax with tension component,pneumothorax with tension component,tension pneumothorax component,respiratory disorder,pathophysiologic finding,CF
post traumatic changes,post traumatic changes,post-traumatic change,post-procedure,procedure,CF
post-changes,post-changes,post-change,post-procedure,procedure,CF
post-op changes,post-op changes,post-operative change,post-procedure,procedure,CF
post-operative changes,post-operative changes,post-operative change,post-procedure,procedure,CF
post-radiation changes,post-radiation changes,post-radiation change,post-procedure,procedure,CF
post-surgical changes,post-surgical changes,post-surgical change,post-procedure,procedure,CF
post-treatment changes,post-treatment changes,post-treatment change,post-procedure,procedure,CF
postoperative healing,postoperative healing,post-operative healing,post-procedure,procedure,CF
postoperative improvement,postoperative improvement,post-operative improvement,post-procedure,procedure,CF
postsurgical changes,postsurgical changes,post-surgical change,post-procedure,procedure,CF
posttreatment changes,posttreatment changes,post-treatment change,post-procedure,procedure,CF
presternal soft tissue cavity,soft tissue cavity,soft tissue cavity,,,CF
primary lung cancer,primary lung cancer,primary lung cancer,,,CF
procedural complication,procedural complication,procedural complication,,,CF
progression of disease,progression of disease,progression of disease,,,CF
pseudomonas colonization,Pseudomonas colonization,Pseudomonas colonization,,,CF
pseudotumor fluid,pseudotumor fluid,pseudotumor fluid,fluid disorder,pathophysiologic finding,CF
pulm edema,pulmonary edema,pulmonary edema,fluid disorder,pathophysiologic finding,CF
pulmonary and interstitial edema,pulmonary and interstitial edema,pulmonary and interstitial edema,fluid disorder,pathophysiologic finding,CF
pulmonary arterial hypertension,pulmonary arterial hypertension,pulmonary arterial hypertension,,,CF
pulmonary congestion,pulmonary congestion,pulmonary congestion,,,CF
pulmonary disease,pulmonary disease,pulmonary disease,,,CF
pulmonary edema,pulmonary edema,pulmonary edema,fluid disorder,pathophysiologic finding,CF
pulmonary fluid overload,pulmonary fluid overload,pulmonary fluid overload,fluid disorder,pathophysiologic finding,CF
pulmonary hemorrhage,pulmonary hemorrhage,pulmonary hemorrhage,,,CF
pulmonary hypertension,pulmonary hypertension,pulmonary hypertension,,,CF
pulmonary infarct,pulmonary infarct,pulmonary infarct,,,CF
pulmonary interstitial alveolar edema,pulmonary interstitial alveolar edema,pulmonary interstitial alveolar edema,fluid disorder,pathophysiologic finding,CF
pulmonary interstitial edema,pulmonary interstitial edema,pulmonary interstitial edema,fluid disorder,pathophysiologic finding,CF
pulmonary laceration,laceration,laceration,,,CF
pulmonary metastases,metastases,metastasis,,,CF
pulmonary metastatic disease,metastatic disease,metastatic disease,,,CF
pulmonary sarcoid,pulmonary sarcoid,pulmonary sarcoid,,,CF
pulmonary vascular congestion,pulmonary vascular congestion,pulmonary vascular congestion,,,CF
pulmonary vascular edema,pulmonary vascular edema,pulmonary vascular edema,fluid disorder,pathophysiologic finding,CF
pulmonary venous congestion,pulmonary venous congestion,pulmonary venous congestion,,,CF
pulmonary venous hypertension,pulmonary venous hypertension,pulmonary venous hypertension,,,CF
radiation changes,radiation changes,radiation change,,,CF
radiation fibrosis,radiation fibrosis,radiation fibrosis,,,CF
radiation stricture,radiation stricture,radiation stricture,,,CF
radiation treatment related changes,radiation treatment related changes,radiation treatment related change,,,CF
recurrent pneumonitis,recurrent pneumonitis,recurrent pneumonitis,inflamation,pathophysiologic finding,CF
reexpansion edema,reexpansion edema,reexpansion edema,fluid disorder,pathophysiologic finding,CF
reexpansion lung edema,reexpansion lung edema,reexpansion lung edema,fluid disorder,pathophysiologic finding,CF
reexpansion pulmonary edema,reexpansion pulmonary edema,reexpansion pulmonary edema,fluid disorder,pathophysiologic finding,CF
renal osteodystrophy,renal osteodystrophy,renal osteodystrophy,,,CF
residual asymmetrical edema,edema,edema,fluid disorder,pathophysiologic finding,CF
retained secretions,retained secretions,retain secretion,,,CF
retrosternal hematoma,retrosternal hematoma,retrosternal hematoma,,,CF
right hemothorax,right hemothorax,right hemothorax,fluid disorder,pathophysiologic finding,CF
right hilar adenopathy,adenopathy,adenopathy,,,CF
right mediastinal adenopathy,adenopathy,adenopathy,,,CF
rotator cuff disease,rotator cuff disease,rotator cuff disease,,,CF
septic embolus,septic embolus,septic embolus,,,CF
septic emboli,septic emboli,septic embolus,,,CF
sequelae of aspiration,sequelae of aspiration,sequelae of aspiration,,,CF
skeletal metastases,metastases,metastasis,,,CF
slowed emptying of the esophagus,slowed emptying of the esophagus,slowed emptying of the esophagus,,,CF
small bochdalek hernia,bochdalek hernia,bochdalek hernia,,,CF
small cell cancer,small cell cancer,small cell cancer,,,CF
small cell carcinoma,small cell carcinoma,small cell carcinoma,,,CF
small cell lung carcinoma,small cell lung carcinoma,small cell lung carcinoma,,,CF
splenic granulomas,granulomas,granuloma,proliferation,pathophysiologic finding,CF
splenic ossification,splenic ossification,splenic ossification,,,CF
surgical changes,surgical changes,surgical change,,,CF
tamponade effusion,tamponade effusion,tamponade effusion,fluid disorder,pathophysiologic finding,CF
tension pneumothorax,tension pneumothorax,tension pneumothorax,respiratory disorder,pathophysiologic finding,CF
thyroid goiter,thyroid goiter,thyroid goiter,,,CF
tracheobronchial rupture,rupture,rupture,,,CF
tracheobronchomalacia,tracheobronchomalacia,tracheobronchomalacia,,,CF
tracheobronchomalasia,tracheobronchomalasia,tracheobronchomalasia,,,CF
tracheomalacia,tracheomalacia,tracheomalacia,,,CF
traction bronchiectasis,traction bronchiectasis,traction bronchiectasis,,,CF
trapped lung,trapped lung,trapped lung,,,CF
traumatic injuries,traumatic injuries,traumatic injury,,,CF
treatment-related changes,treatment-related changes,treatment-related change,,,CF
tumor,tumor,tumor,,,CF
type a aortic dissection,type a aortic dissection,type a aortic dissection,,,CF
upper respiratory airway edema,edema,edema,fluid disorder,pathophysiologic finding,CF
usual interstitial pneumonia,usual interstitial pneumonia,usual interstitial pneumonia,respiratory disorder,pathophysiologic finding,CF
vascular congestion,vascular congestion,vascular congestion,,,CF
venous congestion,venous congestion,venous congestion,,,CF
volume overload,volume overload,volume overload,,,CF
acute focal pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
acute pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
aspiration pneumonia,aspiration pneumonia,aspiration pneumonia,respiratory disorder,pathophysiologic finding,CF
atypical interstitial pneumonia,atypical interstitial pneumonia,atypical interstitial pneumonia,respiratory disorder,pathophysiologic finding,CF
atypical pneumonia,atypical pneumonia,atypical pneumonia,respiratory disorder,pathophysiologic finding,CF
bacterial pneumonia,bacterial pneumonia,bacterial pneumonia,respiratory disorder,pathophysiologic finding,CF
basilar pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
bibasilar pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
bilateral pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
cap,CAP,commnunity acquired pneumonia,respiratory disorder,pathophysiologic finding,CF
community-acquired pneumonia,community-acquired pneumonia,community-acquired pneumonia,respiratory disorder,pathophysiologic finding,CF
cryptogenic organizing pneumonia,cryptogenic organizing pneumonia,cryptogenic organizing pneumonia,respiratory disorder,pathophysiologic finding,CF
diffuse pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
empyema pneumonia,empyema pneumonia,empyema pneumonia,respiratory disorder,pathophysiologic finding,CF
eosinophilic pneumonia,eosinophilic pneumonia,eosinophilic pneumonia,respiratory disorder,pathophysiologic finding,CF
exogenous lipoid pneumonia,exogenous lipoid pneumonia,exogenous lipoid pneumonia,respiratory disorder,pathophysiologic finding,CF
healthcare associated pneumonia,healthcare associated pneumonia,healthcare associated pneumonia,respiratory disorder,pathophysiologic finding,CF
hospital choir pneumonia,hospital choir pneumonia,hospital choir pneumonia,respiratory disorder,pathophysiologic finding,CF
infectious pneumonia,infectious pneumonia,infectious pneumonia,respiratory disorder,pathophysiologic finding,CF
left perihilar pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
lingular pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
lobar pneumonia,lobar pneumonia,lobar pneumonia,respiratory disorder,pathophysiologic finding,CF
middle lobe pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
multifocal pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
necrotizing pneumonia,necrotizing pneumonia,necrotizing pneumonia,respiratory disorder,pathophysiologic finding,CF
necrotizing right upper lobe pneumonia,necrotizing pneumonia,necrotizing pneumonia,respiratory disorder,pathophysiologic finding,CF
occult pneumonia,occult pneumonia,occult pneumonia,respiratory disorder,pathophysiologic finding,CF
organizing pneumonia,organizing pneumonia,organizing pneumonia,respiratory disorder,pathophysiologic finding,CF
peribronchial pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
pjp,PJP,pneumocystis jiroveci pneumonia,respiratory disorder,pathophysiologic finding,CF
pneumocystis jiroveci pneumonia,pneumocystis jiroveci pneumonia,pneumocystis jiroveci pneumonia,respiratory disorder,pathophysiologic finding,CF
pneumocystis pneumonia,pneumocystis pneumonia,pneumocystis pneumonia,respiratory disorder,pathophysiologic finding,CF
pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
pneumonias,pneumonias,pneumonia,respiratory disorder,pathophysiologic finding,CF
pneumonia with effusion,pneumonia with effusion,pneumonia with effusion,respiratory disorder,pathophysiologic finding,CF
post obstructive pneumonia,post obstructive pneumonia,post obstructive pneumonia,respiratory disorder,pathophysiologic finding,CF
post-obstructive pneumonia,post-obstructive pneumonia,post-obstructive pneumonia,respiratory disorder,pathophysiologic finding,CF
postobstructive pneumonia,postobstructive pneumonia,postobstructive pneumonia,respiratory disorder,pathophysiologic finding,CF
pseudomonas pneumonia,pseudomonas pneumonia,pseudomonas pneumonia,respiratory disorder,pathophysiologic finding,CF
recurrent pneumonia,recurrent pneumonia,recurrent pneumonia,respiratory disorder,pathophysiologic finding,CF
right lower lobe pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
rll pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
superimposed pneumonia,superimposed pneumonia,superimpose pneumonia,respiratory disorder,pathophysiologic finding,CF
supervening pneumonia,supervening pneumonia,supervening pneumonia,respiratory disorder,pathophysiologic finding,CF
ventilation-acquired pneumonia,ventilation-acquired pneumonia,ventilation-acquired pneumonia,respiratory disorder,pathophysiologic finding,CF
cavitary pneumonia,cavitary pneumonia,cavitary pneumonia,respiratory disorder,pathophysiologic finding,CF
eosinophillic pneumonia,eosinophillic pneumonia,eosinophillic pneumonia,respiratory disorder,pathophysiologic finding,CF
hospital-acquired pneumonia,hospital-acquired pneumonia,hospital-acquired pneumonia,respiratory disorder,pathophysiologic finding,CF
lll pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
multilobar pneumonia,pneumonia,pneumonia,respiratory disorder,pathophysiologic finding,CF
usual interstitial pneumonia,usual interstitial pneumonia,usual interstitial pneumonia,respiratory disorder,pathophysiologic finding,CF
actinomycosis,actinomycosis,actinomycosis,,,CF
active infection,active infection,active infection,infection,pathophysiologic finding,CF
active tb,active tb,active tuberculosis,,,CF
active tuberculosis,active tuberculosis,active tuberculosis,,,CF
acute cardiopulm disease,cardiopulm disease,cardiopulmonary disease,,,CF
acute cardiopulmonary issues,cardiopulmonary issues,cardiopulmonary issues,,,CF
acute disease,acute disease,acute disease,,,CF
acute exacerbation,acute exacerbation,acute exacerbation,,,CF
acute exacerbation of interstitial lung disease,acute exacerbation of interstitial lung disease,acute exacerbation of interstitial lung disease,,,CF
acute pulmonary infectious process,infectious process,infectious process,infection,pathophysiologic finding,CF
acute respiratory distress,acute respiratory distress,acute respiratory distress,,,CF
acute respiratory failure,acute respiratory failure,acute respiratory failure,,,CF
adenocarcinoma of the lungs,adenocarcinoma of the lungs,adenocarcinoma of the lung,,,CF
advanced heart failure,advanced heart failure,advanced heart failure,,,CF
airspace disease,airspace disease,airspace disease,,,CF
airway disease,airway disease,airway disease,,,CF
airway obstruction,airway obstruction,airway obstruction,,,CF
amiodarone toxicity,amiodarone toxicity,amiodarone toxicity,,,CF
amiodarone-induced pulmonary toxicity,amiodarone-induced pulmonary toxicity,amiodarone-induced pulmonary toxicity,,,CF
ankylosing spondylitis,ankylosing spondylitis,ankylosing spondylitis,,,CF
aortic dissection,aortic dissection,aortic dissection,,,CF
ards,ARDS,acute respiratory distress syndrome,,,CF
asbestos related lung disease,asbestos related lung disease,asbestos related lung disease,,,CF
aspiration pneumonitis,aspiration pneumonitis,aspiration pneumonitis,,,CF
asymmetric edema,edema,edema,,,CF
asymmetric pulmonary edema,pulmonary edema,pulmonary edema,,,CF
atypical infection,atypical infection,atypical infection,infection,pathophysiologic finding,CF
atypical mycobacterial infection,atypical mycobacterial infection,atypical mycobacterial infection,infection,pathophysiologic finding,CF
atypical mycobacterical infection,atypical mycobacterical infection,atypical mycobacterial infection,infection,pathophysiologic finding,CF
basilar infection,infection,infection,infection,pathophysiologic finding,CF
bibasal infection,infection,infection,infection,pathophysiologic finding,CF
biventricular failure,biventricular failure,biventricular failure,,,CF
biventricular heart failure,biventricular heart failure,biventricular heart failure,,,CF
bronchial infection,bronchial infection,bronchial infection,infection,pathophysiologic finding,CF
bronchiolitis obliterans,bronchiolitis obliterans,bronchiolitis obliterans,,,CF
bronchitis,bronchitis,bronchitis,,,CF
calcific tendinitis,calcific tendinitis,calcific tendinitis,,,CF
cavitary aspergillosis,cavitary aspergillosis,cavitary aspergillosis,infection,pathophysiologic finding,CF
chronic heart failure,chronic heart failure,chronic heart failure,,,CF
chronic interstitial disease,chronic interstitial disease,chronic interstitial disease,,,CF
chronic obstructive airway disease,chronic obstructive airway disease,chronic obstructive airway disease,,,CF
chronic obstructive airways disease,chronic obstructive airways disease,chronic obstructive airway disease,,,CF
chronic obstructive airway disease exacerbation,chronic obstructive airway disease exacerbation,chronic obstructive airway disease exacerbation,,,CF
coccidioidomycosis,coccidioidomycosis,coccidioidomycosis,,,CF
community acquired lung infection,community acquired lung infection,community acquire lung infection,infection,pathophysiologic finding,CF
congestive cardiac failure,congestive cardiac failure,congestive cardiac failure,,,CF
congestive failure,congestive failure,congestive failure,,,CF
congestive heart failure,congestive heart failure,congestive heart failure,,,CF
congestive heart failure exacerbation,congestive heart failure exacerbation,congestive heart failure exacerbation,,,CF
congestive heart failure infiltrate,congestive heart failure infiltrate,congestive heart failure infiltrate,,,CF
cryptococcosis,cryptococcosis,cryptococcosis,,,CF
dah,dah,diffuse alveolar hemorrhage,,,CF
diastolic congestive heart failure,diastolic congestive heart failure,diastolic congestive heart failure,,,CF
diastolic heart failure,diastolic heart failure,diastolic heart failure,,,CF
diastolic hf,diastolic hf,diastolic heart failure,,,CF
end-stage ild,ild,infectious intestinal disease,,,CF
exacerbations,exacerbations,exacerbation,,,CF
exacerbation,exacerbation,exacerbation,,,CF
failure,failure,failure,,,CF
flash edema,flash edema,flash edema,,,CF
flash pulm edema,flash pulm edema,flash pulmonary edema,,,CF
flu,flu,flu,,,CF
focus of infection,focus of infection,focus of infection,infection,pathophysiologic finding,CF
granulomatous infection,granulomatous infection,granulomatous infection,infection,pathophysiologic finding,CF
granulomatous process,granulomatous process,granulomatous process,,,CF
heart disease,heart disease,heart disease,,,CF
heart failure exacerbation,heart failure exacerbation,heart failure exacerbation,,,CF
hypersensitivity pneumonitis,hypersensitivity pneumonitis,hypersensitivity pneumonitis,,,CF
ild,ild,infectious intestinal disease,,,CF
indolent infection,indolent infection,indolent infection,infection,pathophysiologic finding,CF
infarction,infarction,infarction,,,CF
infection,infection,infection,infection,pathophysiologic finding,CF
infection process,infection process,infection process,infection,pathophysiologic finding,CF
infectious,infectious,infectious,infection,pathophysiologic finding,CF
infectious consolidation,infectious consolidation,infectious consolidation,,pathophysiologic finding,CF
infectious disease,infectious disease,infectious disease,infection,pathophysiologic finding,CF
infectious etiology,infectious etiology,infectious etiology,infection,pathophysiologic finding,CF
infectious infiltrate,infectious infiltrate,infectious infiltrate,infection,pathophysiologic finding,CF
infectious process,infectious process,infectious process,infection,pathophysiologic finding,CF
infectious processes,infectious processes,infectious process,infection,pathophysiologic finding,CF
